Date : 2024-11-29 14:29:24
Directory : c:\Users\hzins\Desktop\X-base
Total : 195 files,  1172325 codes, 226 comments, 1142 blanks, all 1173693 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积7DMA_trend2.xlsx       | Excel    |      1,377 |          0 |          7 |      1,384 |
| c:\Users\hzins\Desktop\X-base\data_output\7DMA_trend_test1.xlsx               | Excel    |        713 |          0 |          7 |        720 |
| c:\Users\hzins\Desktop\X-base\data_output\7DMA_trend_test2.xlsx               | Excel    |        757 |          0 |          9 |        766 |
| c:\Users\hzins\Desktop\X-base\data_output\MLE铜价_resid1.xlsx                   | Excel    |        699 |          0 |          3 |        702 |
| c:\Users\hzins\Desktop\X-base\data_output\MLE铜价_seasonal1.xlsx                | Excel    |        686 |          0 |          7 |        693 |
| c:\Users\hzins\Desktop\X-base\data_output\MLE铜价_trend.xlsx                    | Excel    |        793 |          0 |          3 |        796 |
| c:\Users\hzins\Desktop\X-base\data_output\decomposed_data.csv                 | CSV      |  1,048,576 |          0 |          1 |  1,048,577 |
| c:\Users\hzins\Desktop\X-base\data_output\my_weekly_data_residual.csv         | CSV      |        456 |          0 |          1 |        457 |
| c:\Users\hzins\Desktop\X-base\data_output\my_weekly_data_seasonal.csv         | CSV      |        456 |          0 |          1 |        457 |
| c:\Users\hzins\Desktop\X-base\data_output\my_weekly_data_trend.csv            | CSV      |        456 |          0 |          1 |        457 |
| c:\Users\hzins\Desktop\X-base\data_output\rebar_trend.xlsx                    | Excel    |         81 |          0 |          2 |         83 |
| c:\Users\hzins\Desktop\X-base\data_output\residual_aligned.csv                | CSV      |        455 |          0 |          1 |        456 |
| c:\Users\hzins\Desktop\X-base\data_output\residual_aligned1.csv               | CSV      |        455 |          0 |          1 |        456 |
| c:\Users\hzins\Desktop\X-base\data_output\residual_aligned2.csv               | CSV      |        455 |          0 |          1 |        456 |
| c:\Users\hzins\Desktop\X-base\data_output\seasonal_aligned.csv                | CSV      |        455 |          0 |          1 |        456 |
| c:\Users\hzins\Desktop\X-base\data_output\seasonal_aligned1.csv               | CSV      |        455 |          0 |          1 |        456 |
| c:\Users\hzins\Desktop\X-base\data_output\seasonal_aligned2.csv               | CSV      |        455 |          0 |          1 |        456 |
| c:\Users\hzins\Desktop\X-base\data_output\test11_residual.csv                 | CSV      |        461 |          0 |          1 |        462 |
| c:\Users\hzins\Desktop\X-base\data_output\test11_seasonal.csv                 | CSV      |        461 |          0 |          1 |        462 |
| c:\Users\hzins\Desktop\X-base\data_output\test11_trend.csv                    | CSV      |        461 |          0 |          1 |        462 |
| c:\Users\hzins\Desktop\X-base\data_output\test_residual.csv                   | CSV      |        456 |          0 |          1 |        457 |
| c:\Users\hzins\Desktop\X-base\data_output\test_seasonal.csv                   | CSV      |        456 |          0 |          1 |        457 |
| c:\Users\hzins\Desktop\X-base\data_output\test_trend.csv                      | CSV      |        456 |          0 |          1 |        457 |
| c:\Users\hzins\Desktop\X-base\data_output\trend_aligned.csv                   | CSV      |        455 |          0 |          1 |        456 |
| c:\Users\hzins\Desktop\X-base\data_output\trend_aligned1.csv                  | CSV      |        455 |          0 |          1 |        456 |
| c:\Users\hzins\Desktop\X-base\data_output\trend_aligned2.csv                  | CSV      |        455 |          0 |          1 |        456 |
| c:\Users\hzins\Desktop\X-base\data_output\wti趋势_23.xlsx                       | Excel    |        103 |          0 |          1 |        104 |
| c:\Users\hzins\Desktop\X-base\data_output\wti趋势_33.xlsx                       | Excel    |         98 |          0 |          1 |         99 |
| c:\Users\hzins\Desktop\X-base\data_output\wti趋势_63.xlsx                       | Excel    |         98 |          0 |          1 |         99 |
| c:\Users\hzins\Desktop\X-base\data_output\wti趋势_73.xlsx                       | Excel    |         96 |          0 |          1 |         97 |
| c:\Users\hzins\Desktop\X-base\data_output\wti趋势不同参数.xlsx                      | Excel    |        358 |          0 |          0 |        358 |
| c:\Users\hzins\Desktop\X-base\data_output\wti趋势不同参数2.xlsx                     | Excel    |        231 |          0 |          0 |        231 |
| c:\Users\hzins\Desktop\X-base\data_output\wti连1-连4.csv                        | CSV      |      3,260 |          0 |          1 |      3,261 |
| c:\Users\hzins\Desktop\X-base\data_output\中国主营成品油销售公司汽油库存预测结果.xlsx            | Excel    |        131 |          0 |          3 |        134 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产新开工单月值_resid.xlsx                | Excel    |         87 |          0 |          1 |         88 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产新开工单月值_resid1.xlsx               | Excel    |        113 |          0 |          1 |        114 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产新开工单月值_resid2.xlsx               | Excel    |        118 |          0 |          2 |        120 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产新开工单月值_seasonal.xlsx             | Excel    |         97 |          0 |          1 |         98 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产新开工单月值_seasonal1.xlsx            | Excel    |        113 |          0 |          1 |        114 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产新开工单月值_seasonal2.xlsx            | Excel    |        120 |          0 |          1 |        121 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产新开工单月值_trend.xlsx                | Excel    |         82 |          0 |          1 |         83 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产新开工单月值_trend1.xlsx               | Excel    |         78 |          0 |          1 |         79 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产新开工单月值_trend2.xlsx               | Excel    |         94 |          0 |          1 |         95 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产销售面积_resid1.xlsx                 | Excel    |         96 |          0 |          2 |         98 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产销售面积_resid2.xlsx                 | Excel    |         91 |          0 |          1 |         92 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产销售面积_seasonal1.xlsx              | Excel    |         97 |          0 |          2 |         99 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产销售面积_seasonal2.xlsx              | Excel    |         82 |          0 |          1 |         83 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产销售面积_trend1.xlsx                 | Excel    |         86 |          0 |          1 |         87 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产销售面积_trend2.xlsx                 | Excel    |         81 |          0 |          2 |         83 |
| c:\Users\hzins\Desktop\X-base\data_output\房地产销售面积录入.xlsx                      | Excel    |        156 |          0 |          0 |        156 |
| c:\Users\hzins\Desktop\X-base\data_output\数据导入模板2 (4).xlsx                    | Excel    |        400 |          0 |          1 |        401 |
| c:\Users\hzins\Desktop\X-base\data_output\螺纹trend.xlsx                        | Excel    |        140 |          0 |          1 |        141 |
| c:\Users\hzins\Desktop\X-base\data_output\螺纹表需_residual.csv                   | CSV      |        459 |          0 |          1 |        460 |
| c:\Users\hzins\Desktop\X-base\data_output\螺纹表需_seasonal.csv                   | CSV      |        459 |          0 |          1 |        460 |
| c:\Users\hzins\Desktop\X-base\data_output\螺纹表需_trend.csv                      | CSV      |        459 |          0 |          1 |        460 |
| c:\Users\hzins\Desktop\X-base\data_output\螺纹趋势项.xlsx                          | Excel    |        133 |          0 |          1 |        134 |
| c:\Users\hzins\Desktop\X-base\data_output_auto\WTI_拟合残差.csv                   | CSV      |         31 |          0 |          1 |         32 |
| c:\Users\hzins\Desktop\X-base\data_output_auto\WTI连1-连4月差_预测.csv              | CSV      |         30 |          0 |          1 |         31 |
| c:\Users\hzins\Desktop\X-base\data_output_auto\WTI连1-连4月差拟合残差-库欣原油库存-2_预测.csv | CSV      |         36 |          0 |          1 |         37 |
| c:\Users\hzins\Desktop\X-base\data_output_auto\中国主营成品油销售公司汽油库存预测结果.xlsx       | Excel    |         36 |          0 |          1 |         37 |
| c:\Users\hzins\Desktop\X-base\data_output_auto\中国汽油实际消费量预测结果.xlsx             | Excel    |         39 |          0 |          1 |         40 |
| c:\Users\hzins\Desktop\X-base\data_output_auto\中国汽油社会库存预测结果.xlsx              | Excel    |         39 |          0 |          1 |         40 |
| c:\Users\hzins\Desktop\X-base\data_output_auto\中国独立炼厂汽油库存.xlsx                | Excel    |         38 |          0 |          1 |         39 |
| c:\Users\hzins\Desktop\X-base\data_output_auto\中国独立炼厂汽油库存预测.xlsx              | Excel    |         32 |          0 |          1 |         33 |
| c:\Users\hzins\Desktop\X-base\data_output_auto\中国独立炼厂汽油表需.xlsx                | Excel    |         36 |          0 |          1 |         37 |
| c:\Users\hzins\Desktop\X-base\data_output_auto\库欣原油库存-预测-PADD3拟合.csv          | CSV      |         30 |          0 |          1 |         31 |
| c:\Users\hzins\Desktop\X-base\demo_教材\learn1.ipynb                            | JSON     |      1,023 |          0 |          1 |      1,024 |
| c:\Users\hzins\Desktop\X-base\test_1.ipynb                                    | JSON     |        301 |          0 |          1 |        302 |
| c:\Users\hzins\Desktop\X-base\test_2.ipynb                                    | JSON     |        319 |          0 |          1 |        320 |
| c:\Users\hzins\Desktop\X-base\test_code\test.ipynb                            | JSON     |        258 |          0 |          1 |        259 |
| c:\Users\hzins\Desktop\X-base\test_code\test2.ipynb                           | JSON     |        248 |          0 |          1 |        249 |
| c:\Users\hzins\Desktop\X-base\test_code\test3.ipynb                           | JSON     |        241 |          0 |          1 |        242 |
| c:\Users\hzins\Desktop\X-base\test_code\test4.ipynb                           | JSON     |        237 |          0 |          1 |        238 |
| c:\Users\hzins\Desktop\X-base\test_code\test5.ipynb                           | JSON     |        593 |          0 |          1 |        594 |
| c:\Users\hzins\Desktop\X-base\test_code\test6_山东汽油裂解.ipynb                    | JSON     |        336 |          0 |          1 |        337 |
| c:\Users\hzins\Desktop\X-base\test_code\test6_山东汽油裂解2.ipynb                   | JSON     |        530 |          0 |          1 |        531 |
| c:\Users\hzins\Desktop\X-base\test_code\test_api_gpr地缘政治.ipynb                | JSON     |         81 |          0 |          1 |         82 |
| c:\Users\hzins\Desktop\X-base\test_code\test_png数值读取.ipynb                    | JSON     |        162 |          0 |          1 |        163 |
| c:\Users\hzins\Desktop\X-base\test_code\test_rbob_模型.ipynb                    | JSON     |        270 |          0 |          1 |        271 |
| c:\Users\hzins\Desktop\X-base\test_code\test_多步长xgboost.ipynb                 | JSON     |        414 |          0 |          1 |        415 |
| c:\Users\hzins\Desktop\X-base\test_code\test_自动化_rbob.ipynb                   | JSON     |        204 |          0 |          1 |        205 |
| c:\Users\hzins\Desktop\X-base\test_code\wti_arima.ipynb                       | JSON     |      2,036 |          0 |          1 |      2,037 |
| c:\Users\hzins\Desktop\X-base\test_code\wti_final.ipynb                       | JSON     |      1,491 |          0 |          1 |      1,492 |
| c:\Users\hzins\Desktop\X-base\test_code\wti_lr_xgboost.ipynb                  | JSON     |      3,897 |          0 |          1 |      3,898 |
| c:\Users\hzins\Desktop\X-base\中国10年期国债收益率.ipynb                               | JSON     |        494 |          0 |          1 |        495 |
| c:\Users\hzins\Desktop\X-base\中国10年期国债收益率api.ipynb                            | JSON     |        180 |          0 |          1 |        181 |
| c:\Users\hzins\Desktop\X-base\中国主营销售库存.ipynb                                  | JSON     |        486 |          0 |          1 |        487 |
| c:\Users\hzins\Desktop\X-base\中国主营销售库存api.py                                  | Python   |         90 |          5 |         26 |        121 |
| c:\Users\hzins\Desktop\X-base\中国汽油社会库存.ipynb                                  | JSON     |        522 |          0 |          1 |        523 |
| c:\Users\hzins\Desktop\X-base\中国汽油社会库存api.py                                  | Python   |         90 |          5 |         26 |        121 |
| c:\Users\hzins\Desktop\X-base\中国汽油表需.ipynb                                    | JSON     |        579 |          0 |          1 |        580 |
| c:\Users\hzins\Desktop\X-base\中国汽油表需api.py                                    | Python   |         90 |          5 |         26 |        121 |
| c:\Users\hzins\Desktop\X-base\山东柴油裂解差.ipynb                                   | JSON     |        466 |          0 |          1 |        467 |
| c:\Users\hzins\Desktop\X-base\山东柴油裂解差api.ipynb                                | JSON     |        180 |          0 |          1 |        181 |
| c:\Users\hzins\Desktop\X-base\山东汽油裂解.ipynb                                    | JSON     |        640 |          0 |          1 |        641 |
| c:\Users\hzins\Desktop\X-base\山东汽油裂解1.ipynb                                   | JSON     |        611 |          0 |          1 |        612 |
| c:\Users\hzins\Desktop\X-base\山东汽油裂解api.py                                    | Python   |         90 |          5 |         26 |        121 |
| c:\Users\hzins\Desktop\X-base\山东汽油裂解api1.py                                   | Python   |         90 |          5 |         26 |        121 |
| c:\Users\hzins\Desktop\X-base\煤柴价差日度.ipynb                                    | JSON     |        330 |          0 |          1 |        331 |
| c:\Users\hzins\Desktop\X-base\煤柴价差日度api.ipynb                                 | JSON     |        161 |          0 |          1 |        162 |
| c:\Users\hzins\Desktop\X-base\独立炼厂库存.ipynb                                    | JSON     |        475 |          0 |          1 |        476 |
| c:\Users\hzins\Desktop\X-base\独立炼厂库存api.ipynb                                 | JSON     |        180 |          0 |          1 |        181 |
| c:\Users\hzins\Desktop\X-base\独立炼厂表需.ipynb                                    | JSON     |        313 |          0 |          1 |        314 |
| c:\Users\hzins\Desktop\X-base\独立炼厂表需api.py                                    | Python   |         90 |          5 |         26 |        121 |
| Total                                                                         |          |  1,172,325 |        226 |      1,142 |  1,173,693 |
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
